id,own,competing1,competing3,borrowertype,accepted,default,profit
114174,,.2,.1891185,0,0,0,
114175,,.1490819,.3377032,0,0,1,
114176,,.21351427,.26140001,1,0,1,
114177,,.40000001,,0,0,0,
114178,,1,,0,0,0,
114179,.069909602,.044444475,.1937,1,0,0,
114180,,.23999999,.22377859,3,0,0,
114181,,.10725258,.22502854,0,0,0,
114182,,.54699802,,0,0,1,
114183,,.07,.17479706,0,0,0,
114184,,.94852072,.24407728,0,0,0,
114185,,.2064984,.26781633,3,0,0,
114186,,.40000001,.1821256,0,0,0,
114187,.040012501,0,.125,0,0,0,
114188,,.14,.40689957,0,0,0,
114189,.059421692,.2,.23292543,0,1,0,594.21692
114190,,.34,,0,0,0,
114191,,.28214818,.15214203,2,0,0,
114192,,,,0,0,0,
114193,,.19308046,.17960642,0,0,0,
114194,.090300985,.07970123,.1426779,0,0,0,
114195,,.20999999,,1,0,0,
114196,,.28214818,.19310021,0,0,0,
114197,.045751434,.030139115,.090000004,0,0,0,
114198,,.28214818,.3889021,0,0,1,
114199,,.40000001,,1,0,0,
114200,,.40000001,.26726174,0,0,0,
114201,,.40000001,.17474662,0,0,0,
114202,,.2282915,.10596541,0,0,0,
114203,,.377,.2593649,2,0,0,
114204,,.153,.22491574,3,0,0,
114205,.042509913,.14431415,.12631719,0,1,0,425.09912
114206,.053241316,.20812358,.29561922,0,1,0,532.41315
114207,,.23403424,.43406224,0,0,0,
114208,,.63499999,.2273,0,0,0,
114209,,.15536423,,0,0,0,
114210,,.36000001,,0,0,1,
114211,,1,.64018655,0,0,1,
114212,,.40000001,,0,0,0,
114213,,.198,.067819625,0,0,0,
114214,,0,.74305713,0,0,0,
114215,.043263998,.02246022,.077532947,0,0,0,
114216,.040181853,.029999999,.13654841,3,0,0,
114217,,,,1,0,0,
114218,,,,0,0,0,
114219,,.52899998,,0,0,0,
114220,,.17,,0,0,0,
114221,,.071964525,.2049,0,0,1,
114222,.056652896,.27214816,.1329,0,1,0,566.52893
114223,,.30500001,,2,0,0,
114224,,.13333778,.18186358,0,0,0,
114225,,.19302052,.2458,0,0,0,
114226,,0,.60992944,0,0,0,
114227,,.23928973,.1829,0,0,0,
114228,,.18302053,.16680001,1,0,0,
114229,.051626004,.076366074,.15412013,3,1,0,516.26007
114230,,0,,0,0,1,
114231,,.055465806,.12825726,0,0,0,
114232,,,,0,0,1,
114233,,.38091454,.45691058,3,0,0,
114234,,.050000001,.011013018,0,0,0,
114235,,.36636311,.091943555,0,0,0,
114236,.047350205,.073336378,.1908,2,1,0,473.50204
114237,,.16329591,.5556882,0,0,0,
114238,,,,0,0,1,
114239,,,.81810135,0,0,0,
114240,,.13,.32306007,0,0,0,
114241,.070175372,.20900001,.27654031,0,1,0,701.75372
114242,,.0772769,.18462531,0,0,1,
114243,,,,0,0,0,
114244,,.15700001,.15260307,0,0,0,
114245,.04041684,.19302052,.12971775,0,1,0,404.1684
114246,,.092470251,.2617265,0,0,1,
114247,,1,.43785927,0,0,0,
114248,,.156,.2585721,0,0,0,
114249,.052875895,.091721505,.13340878,3,1,0,528.75897
114250,,.40099999,.116,0,0,0,
114251,,.29380217,.12415795,0,0,0,
114252,.064665072,.09089388,.16512474,0,1,0,646.6507
114253,,,.19699551,0,0,1,
114254,.046300035,.23403424,.12055191,0,1,1,-10000
114255,,.36700001,.46772778,0,0,1,
114256,,,.75929421,0,0,1,
114257,,.18293147,.13876382,0,0,1,
114258,.0664763,.02,.14390001,0,0,0,
114259,,.45644832,.123,0,0,0,
114260,,.45899999,.2385,0,0,1,
114261,,.29899999,.28618392,3,0,0,
114262,,.13333778,.19750001,1,0,0,
114263,,.37106961,,0,0,0,
114264,,.12333779,,0,0,0,
114265,,.62044799,.36303461,0,0,0,
114266,,.40255219,.4618277,0,0,0,
114267,,.40000001,.2408223,0,0,0,
114268,,.30000001,,2,0,0,
114269,,1,,1,0,1,
114270,,.17900001,.28296429,0,0,0,
114271,,.20999999,,0,0,0,
114272,,.41,.31349999,0,0,1,
114273,,.13621292,,0,0,1,
114274,,.40000001,.21836774,0,0,0,
114275,.039999999,.000164672,.1198174,0,0,0,
114276,,.49599999,,0,0,1,
114277,.040069662,.21351427,.090000004,0,1,0,400.69662
114278,,.43700001,.3726432,0,0,0,
114279,,.081465222,.29940575,3,0,0,
114280,,.2,.103,0,0,0,
114281,,.37974566,.45300001,0,0,0,
114282,,.1567395,.48185444,0,0,0,
114283,,.087467052,.1865797,0,0,1,
114284,,.14736024,,1,0,0,
114285,.090044588,.13333778,.025337907,0,0,0,
114286,,.30000001,.14264581,1,0,0,
114287,,.12916282,,0,0,1,
114288,,.68415022,.69489449,0,0,1,
114289,.064381965,.086000003,,0,1,0,643.81964
114290,.055616938,.22351426,.11159001,0,1,0,556.16937
114291,,.075000003,,0,0,0,
114292,,.46799999,.55912328,0,0,0,
114293,,.164,.22429726,3,0,0,
114294,,.41886595,.25777543,2,0,0,
114295,,.102,.17839999,0,0,0,
114296,.085645698,.079999998,.22924869,3,0,0,
114297,,.28214818,.1991,3,0,1,
114298,,.40000001,,3,0,0,
114299,,.54733223,.26199999,0,0,0,
114300,.048373021,.045913566,.073850565,1,0,0,
114301,,.38091454,.4442561,2,0,1,
114302,,.22351426,.46636981,0,0,0,
114303,,.528,.40940779,0,0,0,
114304,,1,,3,0,0,
114305,,.34999999,.49641123,1,0,0,
114306,.081877708,.1490819,.26128206,2,1,0,818.7771
114307,,.33807707,,0,0,1,
114308,,.17434874,.2089,0,0,0,
114309,,.13,.19331662,0,0,0,
114310,,,,0,0,0,
114311,,,.42901826,3,0,0,
114312,,.061173782,,3,0,0,
114313,,.17399999,.36656255,3,0,0,
114314,,.58140349,.25260001,0,0,0,
114315,,.41,.4745,0,0,1,
114316,.090054236,.10947409,.25186029,1,0,0,
114317,.066576749,.075000003,.034749959,2,0,0,
114318,.040100008,.000038110102,.043931372,0,0,0,
114319,,.23403424,,1,0,0,
114320,,.81035495,.23613383,0,0,0,
114321,.050119489,.21351427,1.8790324e-07,3,0,0,
114322,,.48899999,.4370549,0,0,0,
114323,,.13333778,.11,0,0,0,
114324,,.013640552,.34967086,2,0,0,
114325,.056623425,.075000003,.067000002,2,1,0,566.23425
114326,,.23403424,.34522027,0,0,0,
114327,,.17,.17399861,0,0,0,
114328,.077288426,.0049999999,.053553987,0,0,0,
114329,,.32228917,.1652,1,0,0,
114330,.041332401,.075000003,.000023281096,0,0,0,
114331,,.40000001,,0,0,1,
114332,,.17583863,,2,0,1,
114333,.040466204,.075000003,,2,1,0,404.66205
114334,,.60595691,.36832765,0,0,0,
114335,,.066345178,.19197603,1,0,1,
114336,.084158078,.40000001,.125,2,1,0,841.58075
114337,,.39916512,.29367051,0,0,0,
114338,,,.4703005,0,0,0,
114339,,.1748167,,1,0,1,
114340,,.15024576,,0,0,0,
114341,,.30000001,.18024936,0,0,0,
114342,,,.5569011,0,0,0,
114343,,.29661253,.278,0,0,0,
114344,,.184,.18441395,0,0,1,
114345,,.145,.16747434,0,0,0,
114346,,.27214816,.19285254,0,0,1,
114347,.053855367,.17886838,.35192555,0,1,0,538.55365
114348,,.30000001,.14181796,3,0,0,
114349,,.21351427,.68790936,0,0,0,
114350,,.361,.4097726,1,0,1,
114351,,.15908191,.1231,3,0,0,
114352,,.27214816,.17129999,3,0,0,
114353,,.28214818,.2446,0,0,1,
114354,.042328496,.02,.12718989,0,0,0,
114355,,.20100001,.30186474,3,0,1,
114356,,.39279082,.26357383,0,0,1,
114357,,.23,.41233146,0,0,0,
114358,,.13041802,.18736927,0,0,0,
114359,.059626538,.18000001,.15090001,0,1,0,596.26538
114360,,.17130588,.071069427,0,0,0,
114361,.046276376,.021200305,.1478,0,0,0,
114362,,.40000001,.1939,3,0,0,
114363,.049312282,.075000003,,0,1,0,493.12283
114364,,.38999999,.5581935,0,0,0,
114365,,.40000001,.096000001,0,0,0,
114366,.046357673,.003,.093062401,2,0,0,
114367,,.54352862,.49509999,0,0,0,
114368,,.1490819,.18508855,0,0,0,
114369,,.45500001,.133564,0,0,0,
114370,,.48993659,.1174,0,0,0,
114371,,.18000001,,0,0,0,
114372,,.10887279,.1197,0,0,0,
114373,,.28,.43062973,0,0,0,
114374,.050265461,.075000003,.071999997,0,1,0,502.6546
114375,,.57999998,,0,0,0,
114376,,.88999999,.43357387,0,0,0,
114377,,,,0,0,0,
114378,,.26499999,.17248109,0,0,0,
114379,,.28,.3197,0,0,0,
114380,,.2,.1893,0,0,0,
114381,,.23477508,.40667602,0,0,0,
114382,,.23,.28853551,1,0,0,
114383,,,.28760001,0,0,0,
114384,,.35157669,.4332723,1,0,0,
114385,,.465,.32241154,3,0,0,
114386,.075423189,0,.13963403,0,0,0,
114387,,.30000001,.1877636,0,0,0,
114388,,0,,0,0,0,
114389,,.176,.1764725,0,0,0,
114390,,1,.35005444,0,0,0,
114391,.048660275,.023039546,.15793589,0,0,0,
114392,.050554026,.1,.27128643,0,1,0,505.54025
114393,,0,,0,0,1,
114394,,.15908191,.12090117,0,0,0,
114395,,.1490819,,0,0,0,
114396,.039999999,0,.096000001,2,0,0,
114397,.067995384,.12,,0,1,0,679.95386
114398,,.2,.29805714,0,0,0,
114399,,.27000001,.17944546,0,0,0,
114400,,.45840868,.44319132,3,0,0,
114401,,1,,2,0,0,
114402,,.31165546,.11107607,0,0,0,
114403,.042948861,0,.090000004,1,0,0,
114404,,.40000001,.085803293,0,0,0,
114405,.043973535,.015314768,.12245889,0,0,0,
114406,.042822093,.02,.086999997,0,0,0,
114407,.043063447,2.6906999e-11,.090000004,0,0,0,
114408,,.33259001,.54480898,0,0,0,
114409,,.40000001,,1,0,0,
114410,,.23999999,.15049514,0,0,0,
114411,.055991732,.062069114,.117,0,1,0,559.9173
114412,,0,.28001797,0,0,1,
114413,,.20999999,.20541783,1,0,0,
114414,,.09599334,,0,0,0,
114415,,.40000001,,0,0,0,
114416,,.38091454,.43948951,0,0,0,
114417,,.15000001,.2748273,0,0,1,
114418,,.34200001,.35287073,0,0,1,
114419,,0,.20079523,3,0,0,
114420,,.3154456,.3004548,0,0,0,
114421,,.40000001,.114,0,0,0,
114422,,.18302053,,1,0,0,
114423,.05384928,.111,.085000001,2,1,0,538.4928
114424,.04025602,.075000003,.1741,0,1,0,402.56021
114425,,.145,.14420599,0,0,0,
114426,.088495485,.0049999999,.0095446715,0,0,0,
114427,,.46805367,.1682194,0,0,0,
114428,,.27000001,,0,0,0,
114429,,1,.89318037,0,0,1,
114430,.085555963,.057,.16859999,0,0,0,
114431,.040140826,.04487991,.00033188119,0,0,0,
114432,,.47308969,.41019404,0,0,0,
114433,.05340464,.071000002,,1,0,0,
114434,,.27214816,.29094619,0,0,0,
114435,,1,.52639282,1,0,1,
114436,,.31,.2362,0,0,0,
114437,.07020843,.1,.147,0,1,1,-10000
114438,,.40063974,.53808075,0,0,0,
114439,,.25,.51464832,2,0,1,
114440,.042950049,.22351426,.00064489333,0,0,0,
114441,,.19511729,.1684,0,0,0,
114442,,.51354891,,0,0,0,
114443,,.057480969,.174043,0,0,0,
114444,.039999999,0,.0439118,3,0,0,
114445,.075585894,.057,.060367614,2,1,0,755.85895
114446,.061641816,.003341686,.11726402,0,0,0,
114447,,.24791813,.20477277,3,0,0,
114448,,.193,,2,0,0,
114449,,.086000003,.10542664,0,0,0,
114450,,,,0,0,0,
114451,,.28,.12819999,0,0,0,
114452,,.19814353,.28606313,2,0,0,
114453,.041907642,.075000003,.0073326197,0,0,0,
114454,,1,.54892284,1,0,0,
114455,,.23,,0,0,1,
114456,,.17946391,.25866336,3,0,0,
114457,,.40000001,,0,0,0,
114458,,1,,0,0,0,
114459,,.33700001,.26044396,2,0,1,
114460,.042333279,.01150064,,0,0,0,
114461,,.40000001,.15399884,0,0,0,
114462,,1,,0,0,0,
114463,,.25099999,.20191701,0,0,0,
114464,,.352,,0,0,1,
114465,,.28214818,,0,0,1,
114466,,.40000001,,1,0,1,
114467,.044190738,.00058872602,.00044635215,3,0,0,
114468,,,.70622754,1,0,0,
114469,,.27669692,.14677189,0,0,0,
114470,,.079999998,.19062893,0,0,0,
114471,,.389,.16776517,0,0,1,
114472,.040733665,.059999999,.103,0,1,0,407.33664
114473,.046229143,.026639365,.057581346,2,1,0,462.29141
114474,.04237571,.19302052,.0067211417,1,0,0,
114475,.039999999,.0076956009,.1217,0,0,0,
114476,,.266,.2094,0,0,0,
114477,,.3925522,,0,0,0,
114478,,,.52212155,0,0,0,
114479,,0,.2217,0,0,0,
114480,,.60100001,.53512108,0,0,1,
114481,,.88856113,.31879425,0,0,1,
114482,,,,0,0,0,
114483,.05184925,.10581458,.14848618,0,1,0,518.49249
114484,.070130162,.23403424,.069248937,0,0,0,
114485,,.27214816,.17119423,0,0,0,
114486,,1,.57233417,0,0,1,
114487,.086303391,.2,,0,1,0,863.03394
114488,.087551467,.19302052,.047047399,0,0,0,
114489,,.15908191,.16249999,0,0,0,
114490,,.38091454,.49719179,0,0,0,
114491,,0,.46756014,0,0,1,
114492,,1,,0,0,0,
114493,,.67664754,.55740821,0,0,1,
114494,,.177,.20382386,0,0,0,
114495,,.55900002,,0,0,0,
114496,,,.41948012,1,0,0,
114497,,.15988466,.18444704,0,0,0,
114498,.042225607,.065548204,.20909999,1,1,0,422.25607
114499,,,,0,0,0,
114500,,.34999999,,3,0,1,
114501,,.15908191,.25602973,0,0,0,
114502,,.52700001,.26462966,0,0,0,
114503,,.13333778,.116,0,0,0,
114504,,.22,.28253138,0,0,0,
114505,,.15720932,.18647009,0,0,0,
114506,,.28214818,.43862247,0,0,0,
114507,.043631241,.044668376,.02,2,0,0,
114508,,.45931181,,0,0,1,
114509,,.3925522,,0,0,1,
114510,,0,,0,0,1,
114511,,,.44260523,1,0,1,
114512,,.22351426,.1580112,2,0,0,
114513,.040114071,.12333779,.134,0,1,0,401.14072
114514,.07381288,.1490819,.24761856,0,1,1,-10000
114515,,,,0,0,1,
114516,,.1,.24077511,2,0,0,
114517,,,,0,0,0,
114518,,.27087131,,0,0,1,
114519,.040758662,.038677335,.047622539,0,0,0,
114520,,.141,.1407,0,0,0,
114521,,0,.94958794,0,0,0,
114522,,1,,0,0,1,
114523,,.12114532,.27520001,2,0,1,
114524,,.10473169,,1,0,0,
114525,,.40000001,,0,0,1,
114526,,.111,.14835514,0,0,0,
114527,,.088324703,.25942418,0,0,0,
114528,.065287203,.18302053,.071000002,2,1,0,652.87201
114529,,,,0,0,0,
114530,,.23,.26916602,0,0,0,
114531,,,,0,0,0,
114532,,.25,,0,0,0,
114533,,.19302052,.122,0,0,1,
114534,,.38091454,,2,0,1,
114535,,.19,.26000828,0,0,0,
114536,,.28214818,.19439751,0,0,0,
114537,,.40000001,,0,0,0,
114538,,.40000001,.2458,0,0,0,
114539,,.40000001,,1,0,1,
114540,,.51499999,,2,0,0,
114541,,.347,.2827,0,0,0,
114542,.042314351,.10124591,.2207,3,1,0,423.14349
114543,,.23403424,.18056595,0,0,1,
114544,,.49200001,.26821557,1,0,1,
114545,.046070442,.1490819,.02289707,0,0,0,
114546,,.18000001,.105,3,0,0,
114547,,.65739262,.23433174,0,0,0,
114548,,,,2,0,1,
114549,,.3925522,,2,0,1,
114550,.061859377,.080301844,.20586058,0,1,0,618.59375
114551,,.40255219,,0,0,1,
114552,.04231007,.27248845,.029260414,1,0,0,
114553,,.80000001,.59060353,0,0,1,
114554,,.13654079,.18718608,0,0,0,
114555,,,.28675777,0,0,1,
114556,,.132,.20664127,0,0,0,
114557,,.33550495,,1,0,0,
114558,.088368878,.22348386,.23535703,3,1,0,883.68878
114559,,.40000001,.14920001,0,0,0,
114560,,.40000001,,1,0,0,
114561,,.23,,0,0,0,
114562,,.477,.33396047,0,0,0,
114563,,.25,.25135383,3,0,0,
114564,,.495,.49907744,0,0,0,
114565,,.18302053,,0,0,0,
114566,.064530365,,,0,1,1,-10000
114567,.06706661,.2,.11722989,0,1,0,670.66608
114568,,.052293397,,0,0,1,
114569,.042734683,.0049999999,.096386276,0,0,0,
114570,,.205,,0,0,0,
114571,,.1490819,.25505108,0,0,0,
114572,,.097191237,.22485097,0,0,0,
114573,,.43959868,.34311938,1,0,0,
114574,,.30199999,.184,0,0,1,
114575,,.18000001,.17101978,0,0,0,
114576,,.30000001,.18180889,0,0,0,
114577,,.26050505,,0,0,0,
114578,,.18302053,,0,0,0,
114579,,.2,.25229999,0,0,0,
114580,,.22351426,.29819527,0,0,0,
114581,.089777641,.15908191,.11447711,3,1,0,897.77643
114582,,.5474245,.39410016,0,0,1,
114583,,,,0,0,0,
114584,,.18302053,.25021502,0,0,0,
114585,.057964936,.059999999,.064272098,3,0,0,
114586,,.40000001,,1,0,0,
114587,,.11,,0,0,0,
114588,.068755142,.11751415,.133,0,1,0,687.55145
114589,.05026472,.023,,0,0,0,
114590,,.40000001,,0,0,1,
114591,,.0020000001,.093227357,0,0,0,
114592,,.211,.17328198,0,0,0,
114593,,.43099999,.39543128,3,0,0,
114594,.044396371,.074154422,.079599999,2,1,0,443.96371
114595,,.85578787,,0,0,1,
114596,,.34200001,.2576448,0,0,0,
114597,.049882077,.07,.07,3,1,0,498.82077
114598,,.40254343,,0,0,1,
114599,.088496573,.021843592,.14839032,0,0,0,
114600,,.15908191,,3,0,0,
114601,.058229826,.048054308,.052096847,0,0,0,
114602,.059892345,.14650251,,0,1,0,598.92346
114603,,.32300001,.1763,0,0,0,
114604,,.13087355,.21629944,3,0,0,
114605,,.16103476,,1,0,1,
114606,,,,0,0,1,
114607,,.080066606,.15768184,0,0,0,
114608,.040157005,.15908191,.090000004,0,1,0,401.57004
114609,,.22351426,,0,0,0,
114610,,.090947911,.08625067,0,0,0,
114611,,.292,.18635099,2,0,0,
114612,,.21600001,.23308547,2,0,0,
114613,,.28999999,.1974,1,0,0,
114614,.042004008,6.4380299e-07,.043906003,1,0,0,
114615,,.40000001,,3,0,0,
114616,,.13578041,.28479999,2,0,1,
114617,,.27874622,.18621796,3,0,0,
114618,,.40000001,,3,0,0,
114619,,.04957746,.24355626,1,0,0,
114620,,.40000001,.40853196,0,0,0,
114621,,.13333778,.33948165,3,0,0,
114622,.044016063,.075000003,.090000004,0,1,0,440.16064
114623,.074172281,.2,.24935043,0,1,0,741.72278
114624,,.07,.016776385,1,0,0,
114625,,.083241694,.12780772,3,0,0,
114626,,.18302053,.26812235,0,0,0,
114627,,.38420159,.105,0,0,1,
114628,,.44299999,,0,0,1,
114629,,.72288024,.23473582,0,0,0,
114630,,.40510309,,1,0,1,
114631,.046823584,.075000003,.071670406,0,1,0,468.23584
114632,,.10607423,,1,0,0,
114633,,.15761986,.31479999,3,0,0,
114634,.072071627,.022575911,.058004867,1,0,0,
114635,.070156999,.088497594,.13341586,0,1,0,701.57001
114636,.056484144,.051543649,.000010209005,0,0,0,
114637,,0,.2133,0,0,0,
114638,.045169082,.050000001,.1524,2,1,0,451.69083
114639,,0,.52398658,0,0,1,
114640,,.048168838,.19949999,1,0,1,
114641,,.40000001,.1701,0,0,0,
114642,,.14381956,.26676014,0,0,0,
114643,,.29310176,.1892,0,0,0,
114644,,.28214818,,0,0,0,
114645,,,.53813148,0,0,1,
114646,,,,0,0,1,
114647,,.75855744,,1,0,0,
114648,,.1,.083899997,1,0,0,
114649,.062901057,.02,.054808028,2,0,0,
114650,,,.91083187,2,0,0,
114651,.080796488,.15908191,.078078404,0,0,0,
114652,,.40000001,.33470207,0,0,1,
114653,,1,,0,0,0,
114654,,.25,.1885,0,0,0,
114655,.045579713,.0054759406,.045744348,0,0,0,
114656,,.17032358,.31328446,0,0,0,
114657,,.052821606,.48839965,0,0,0,
114658,,.1150779,,2,0,0,
114659,,.29959768,,0,0,0,
114660,,.17035997,.1117422,0,0,0,
114661,,.37335065,,0,0,0,
114662,,.40200001,.15979999,3,0,1,
114663,,.030669589,.15219894,0,0,0,
114664,,,.64670146,0,0,0,
114665,,.28214818,.32763174,0,0,1,
114666,,.296,.20637153,0,0,1,
114667,,0,.66701609,1,0,0,
114668,,.26665583,.35868007,0,0,0,
114669,,.22,.24397306,3,0,0,
114670,,.11988079,.11699168,0,0,0,
114671,.051590528,.022,.1381,0,0,0,
114672,,.094687536,.37214318,0,0,1,
114673,,.30000001,,2,0,0,
114674,,.072401673,,0,0,0,
114675,.039999999,.21351427,.090000004,0,1,0,400
114676,,.19302052,.37734228,0,0,0,
114677,,.059727561,,0,0,0,
114678,.077722892,.028138353,.020940233,0,0,0,
114679,,.49143273,,0,0,1,
114680,,.31799999,.42911163,0,0,0,
114681,,.38999999,.1443,0,0,0,
114682,,.2238566,.088600002,0,0,0,
114683,,.22351426,,0,0,0,
114684,,.22403423,,0,0,0,
114685,,.40000001,.2009,2,0,1,
114686,.042227171,.029999999,.21758756,0,0,0,
114687,,.40000001,.35958096,2,0,1,
114688,.069631331,.02,.090000004,2,0,0,
114689,,.40000001,.3903259,0,0,0,
114690,,.38091454,,0,0,0,
114691,,1,.42460001,0,0,0,
114692,,.81077152,.20553005,1,0,0,
114693,,.59841263,.28709999,0,0,0,
114694,,.17,.14185727,0,0,0,
114695,,.19302052,.15954433,1,0,0,
114696,,.5768894,.58743733,2,0,0,
114697,,.10705475,.26429975,0,0,0,
114698,.076028846,.054000001,.2065413,3,0,0,
114699,,.30424172,,0,0,0,
114700,,0,,0,0,0,
114701,,.20999999,.13504434,0,0,0,
114702,,0,.34114268,1,0,1,
114703,,.13,.2353,1,0,0,
114704,,.32604536,.39288896,0,0,0,
114705,,.40000001,.69561988,3,0,0,
114706,,.24217102,.21600001,0,0,0,
114707,.040522128,.039999999,.21340001,0,0,0,
114708,,.38091454,,0,0,1,
114709,.043871105,.17900001,.056000002,0,1,0,438.71106
114710,,.21427971,,2,0,0,
114711,.058149029,.16514598,.16683824,0,1,0,581.4903
114712,,.069390491,.2473,0,0,0,
114713,,.43919283,.79315549,0,0,1,
114714,,.033675283,.2236,3,0,0,
114715,.066889711,.046171524,,0,0,0,
114716,,,.2802,0,0,1,
114717,,1,.36621487,0,0,0,
114718,,.082362726,.2212,0,0,0,
114719,,.30080786,,0,0,1,
114720,,.12367196,.3503744,0,0,0,
114721,,.40000001,.34689999,0,0,0,
114722,,,,0,0,1,
114723,,.28076315,,0,0,0,
114724,,.11,.1540536,0,0,0,
114725,.074584082,.28214818,.2622,0,1,0,745.84082
114726,,,.61070567,2,0,0,
114727,,.059007067,.37605149,0,0,0,
114728,,.38091454,,1,0,0,
114729,.047628608,.0093520414,.082000002,1,0,0,
114730,,.28214818,,0,0,0,
114731,,.1004965,.50638306,0,0,1,
114732,,.16,,0,0,0,
114733,,.63,,3,0,1,
114734,,.40000001,.2098166,0,0,0,
114735,.040181853,.029999999,.061999999,0,0,0,
114736,,.60139704,.77129012,0,0,1,
114737,.067511521,.17,.099120513,1,1,0,675.11523
114738,.088702403,.17,.1905715,0,1,0,887.02405
114739,,.086999997,.121,0,0,0,
114740,,,.52464831,0,0,0,
114741,,.33151522,.38408923,3,0,0,
114742,,.22403423,.4858,1,0,0,
114743,,.24537745,.20377795,0,0,0,
114744,,.40302745,,0,0,0,
114745,,1,,1,0,1,
114746,,.2967841,,3,0,0,
114747,.081685118,.10104302,.25311527,1,0,1,
114748,.070025243,,.3459208,1,1,0,700.25244
114749,,,,2,0,1,
114750,,.197,.24741602,0,0,0,
114751,.076899759,.023392823,.077299997,2,0,1,
114752,,.36763036,.84700072,0,0,0,
114753,,.27214816,,0,0,0,
114754,.044604927,.090000004,.15889999,1,1,0,446.04929
114755,,.40000001,.11,0,0,0,
114756,,.30000001,.27449018,0,0,0,
114757,.084701397,.3949745,.15517455,0,1,0,847.01398
114758,,,,0,0,1,
114759,,.40255219,,1,0,0,
114760,,.15000001,,2,0,0,
114761,,,,0,0,0,
114762,,.24147898,,3,0,0,
114763,.055102024,.13828403,.096019678,0,1,0,551.02026
114764,,.0019855429,.15248291,0,0,0,
114765,,,,0,0,0,
114766,,.18302053,,0,0,0,
114767,,.47072425,,0,0,0,
114768,.040941074,.02,.10537814,0,0,0,
114769,.040140826,.0042579281,.0002467407,0,0,0,
114770,,.50999999,.42047209,0,0,0,
114771,,.13668576,,0,0,0,
114772,,.43000001,.52854037,0,0,0,
114773,,.15000001,.44102907,0,0,0,
114774,,.14081377,,2,0,0,
114775,,.40000001,.14909121,0,0,0,
114776,,.19302052,.36952654,0,0,1,
114777,.078737415,.34098193,,2,1,0,787.37415
114778,,.25142005,.27539665,0,0,0,
114779,,.40000001,.26429877,0,0,1,
114780,,.13726856,.18348125,2,0,0,
114781,,,,0,0,0,
114782,,.34999999,.25884694,2,0,0,
114783,,.40000001,.5016734,0,0,1,
114784,,.12,.15922533,0,0,0,
114785,.04466771,.15908191,.13,3,1,0,446.67709
114786,.091966137,.23450983,.097625412,1,1,0,919.66138
114787,,.30000001,,0,0,0,
114788,,.23403424,,1,0,0,
114789,,.23999999,,0,0,0,
114790,,.30000001,.33271968,3,0,0,
114791,,.0088645378,.4323118,0,0,0,
114792,.078917094,.2489167,.20209999,0,1,0,789.17096
114793,,0,.53043014,0,0,1,
114794,,.10979869,,0,0,0,
114795,,1,.64720458,0,0,1,
114796,,.31999999,,0,0,0,
114797,,.16,.16150001,0,0,0,
114798,,.40000001,.35413554,0,0,0,
114799,,.41,.26646611,2,0,0,
114800,.059613679,.060216263,.10712435,0,1,0,596.13678
114801,.068726055,.090017401,.038163587,1,0,0,
114802,,.375,.23189195,0,0,0,
114803,,.68419528,,0,0,0,
114804,.072115391,.11814158,.24721293,1,1,0,721.15393
114805,.083060272,.13,.19329947,0,1,0,830.60272
114806,,.13868441,.30760327,0,0,0,
114807,,.091570288,,0,0,0,
114808,,.21825834,.248,1,0,0,
114809,,.40000001,,0,0,0,
114810,,.28211841,.34593552,3,0,0,
114811,,.21351427,.123,2,0,0,
114812,,.28214818,,0,0,0,
114813,,1,,0,0,0,
114814,,.15908191,,0,0,0,
114815,,.078594901,.3795208,0,0,0,
114816,,0,.3388584,1,0,0,
114817,,.21351427,.2042,0,0,0,
114818,,.21351427,.2625654,0,0,1,
114819,,.1490819,,2,0,0,
114820,,.56085712,,0,0,0,
114821,,.34,.3304261,0,0,1,
114822,,0,.2361,0,0,0,
114823,,.3925522,.39747316,0,0,1,
114824,,.19302052,,2,0,1,
114825,,.20999999,.17186756,0,0,0,
114826,,.27000001,.51712555,0,0,0,
114827,,.25999999,.26117453,2,0,0,
114828,,.36000001,.5776915,0,0,1,
114829,,.22,,3,0,0,
114830,,,,0,0,1,
114831,,1,,0,0,0,
114832,,.13,.20282522,0,0,0,
114833,.088811688,.40000001,.30293912,1,1,0,888.11688
114834,.052867848,.069143713,.17389999,3,1,0,528.67847
114835,,.14206752,,0,0,0,
114836,.055882007,.075000003,.00016949374,0,0,0,
114837,,.31333172,,2,0,0,
114838,,.58467376,,0,0,0,
114839,,.17,.098412484,0,0,0,
114840,,.40000001,.36793709,0,0,1,
114841,,.08141949,.099536762,0,0,0,
114842,,.27214816,.2418,0,0,1,
114843,,.1490819,.26672325,0,0,0,
114844,,.63700175,.25007471,0,0,0,
114845,,.25999999,.36332327,1,0,0,
114846,,.28206924,.32093441,0,0,0,
114847,,.40000001,.24498792,0,0,0,
114848,.092228666,.33517832,.123,0,1,0,922.28668
114849,,.3061814,,0,0,0,
114850,,.31495661,.22570305,0,0,0,
114851,.061325785,.18302053,.28243378,2,1,0,613.25787
114852,.042030606,.089349754,.095177479,1,1,0,420.30606
114853,,.050169621,,1,0,0,
114854,,0,.9873668,0,0,0,
114855,,.31999999,.33860001,1,0,0,
114856,,.40000001,,0,0,0,
114857,,.25,.25799999,0,0,0,
114858,,.456,,0,0,0,
114859,,.34053853,,0,0,0,
114860,.079818271,.15124892,.16230001,2,1,0,798.18274
